Date,Price,Count
2026-05-26 14:00,280000,15
2026-05-26 19:30,279999,135
2026-05-26 19:30,279999,200
2026-05-26 19:31,274000,2
2026-05-26 19:31,270000,7
2026-05-26 19:31,264000,4
2026-05-26 19:31,274000,2
2026-05-26 19:31,280000,10
2026-05-26 19:32,279888,48
2026-05-26 19:32,274000,1
2026-05-26 19:32,274000,1
2026-05-27 19:51,283500,12
2026-05-27 19:51,283500,12
2026-05-27 19:51,182343,2
2026-05-27 19:51,182343,2
2026-05-27 19:52,278900,1
2026-05-27 19:52,278900,1
2026-05-27 19:52,283000,8
2026-05-27 19:52,283000,8
2026-05-27 19:52,282999,5
2026-05-27 19:52,282999,5
2026-05-27 19:52,278900,1
2026-05-27 19:52,278900,1
2026-05-27 19:52,278000,1
2026-05-27 19:52,278000,1
2026-05-27 19:52,282222,3
2026-05-27 19:52,282222,3
2026-05-27 19:52,280000,25
2026-05-27 19:52,280000,7
2026-05-27 19:52,280000,25
2026-05-27 19:52,280000,7
2026-05-27 20:16,281000,18
2026-05-27 20:16,281000,2
2026-05-27 20:16,280999,5
2026-05-27 20:16,280000,3
2026-05-27 20:15,281000,24
2026-05-27 20:15,281800,50
2026-05-27 20:15,279000,1
2026-05-27 20:15,278888,52
2026-05-27 20:15,280000,1
2026-05-27 20:15,280000,3
2026-05-27 20:43:26,280000,1
2026-05-27 20:43:24,279900,8
2026-05-27 20:43:12,279000,13
2026-05-27 20:43:12,279900,7
2026-05-27 20:43:08,280000,1
2026-05-27 20:43:04,279999,28
2026-05-27 20:43:02,279000,7
2026-05-27 20:43:02,279000,2
2026-05-27 20:42:09,280000,4
2026-05-27 20:42:06,279000,1
